大脑	🧠
大脑爆炸	🤯
大脚怪	🫈
大腿	🦵
大菱形	🔶 🔷
大蒜	🧄
大虾	🦐
大象	🐘
大野牛	🦬
大雨	⛈️
大音量	🔊
大饼	🫓
大鹅	🪿
大鼠	🐀
天使	👼
天使宝宝	👼
天使的翅膀	🪽
天妇罗	🍤
天平	⚖️
天气	☁️
天秤座	♎
天线	📡
天蝎座	♏
天鹅	🦢
太差	👎
太差了	👎
太差啦	👎
太极	☯️
太棒	👍
太棒了	👍
太棒啦	👍
太阳	☀️ 🌞
太阳伞	🏖
太阳花	🌻
太阳镜	😎 🕶
失恋	💔
失望	😞
失聪	🧏‍♂️ 🧏‍♀️
失聪者	🧏‍♂️ 🧏‍♀️
头像	👤
头巾	👳‍♂️ 👳‍♀️ 🧕
头戴式耳机	🎧
头晕	😵 😵‍💫
头晕目眩	😵 😵‍💫 💫
头晕眼花	😵 😵‍💫
头爆炸	🤯
头盔	🪖
头秃	👨‍🦲 👩‍🦲 🦲
头纱	👰‍♀️
头脑	🧠
头部剪影	🗣
头骨	💀 ☠️
夹克	🧥
夹克衫	🧥
夹趾凉鞋	🩴
夹钳	🗜
奇异果	🥝
奇怪	🤔
奇怪了	🤔
奉金瓮	⚱️
奋斗	💪
奖杯	🏆
奖牌	🏅
奖金	💰
套娃	🪆
奥兰	🇦🇽
奥兰群岛	🇦🇽
奥地利	🇦🇹
奥地利共和国	🇦🇹
奥姆	🕉
奥姆符号	🕉
女	♀
女丧尸	🧟‍♀️
女举重运动员	🏋️‍♀️
女人	👩
女仔	🧍‍♀️
女侦探	🕵️‍♀️
女修理工	👩‍🔧
女僵尸	🧟‍♀️
女儿	👧
女农民工	👷‍♀️
女办公室职员	👩‍💼
女包	👜
女化学家	👩‍🔬
女医护人员	👩‍⚕️
女医生	👩‍⚕️
女卫兵	💂‍♀️
女卫士	💂‍♀️
女厕	🚺
女厕所	🚺
女厨师	👩‍🍳
女反派	🦹‍♀️
女同	👩‍❤️‍👩
女同性恋	👩‍❤️‍👩
女吸血鬼	🧛‍♀️
女坏蛋	🦹‍♀️
女士	🚺
女士标志	🚺
女士符号	🚺
女士衬衫	👚
女士钱包	👛
女大反派	🦹‍♀️
女大夫	👩‍⚕️
女学生	👩‍🎓
女孩	👧
女宇航员	👩‍🚀
女工人	👷‍♀️
女工厂工人	👩‍🏭
女巫	🧙‍♀️
女帽	👒
女建筑工	👷‍♀️
女建筑工人	👷‍♀️
女开发人员	👩‍💻
女式凉鞋	👡
女性	♀
女技工	👩‍🔧
女技术员	👩‍💻
女摇滚歌手	👩‍🎤
女教师	👩‍🏫
女新郎	🤵‍♀️
女服务员	💁‍♀️
女服务生	💁‍♀️
女歌手	👩‍🎤
女水管工	👩‍🔧
女法官	👩‍⚖️
女法师	🧙‍♀️
女洗手间	🚺
女消防员	👩‍🚒
女漫画家	👩‍🎨
女灯神	🧞‍♀️
女王	👸
女生举重	🏋️‍♀️
女生冲浪	🏄‍♀️
女生游泳	🏊‍♀️
女生玩水球	🤽‍♀️
女电工	👩‍🔧
女画家	👩‍🎨
女白领	👩‍💼
女皇	👸
女码农	👩‍💻
女码畜	👩‍💻
女科学家	👩‍🔬
女程序员	👩‍💻
女精灵	🧝‍♀️
女老师	👩‍🏫
女职员	👩‍💼
女艺术家	👩‍🎨
女行尸走肉	🧟‍♀️
女衬衫	👚
女装	👚
女警官	👮‍♀️
女警察	👮‍♀️
女超人	🦸‍♀️
女超级大反派	🦹‍♀️
女超级英雄	🦸‍♀️
女靴	👢
女鞋	👠
女飞行员	👩‍✈️
女魔术师	🧙‍♀️
女魔法师	🧙‍♀️
奶奶	👵
奶妈	👩‍🍼
